id,name,type,phase,status,state,towns,counties,address,lat,lon,size_acres,capacity_mw,scale,date,lastUpdated,yearOpened,jobsConstruction,jobsLongTerm,jobsTotal,companies,zoningAllowance,landSold,bringingOwnEnergy,approx,locationTbd,moratoriumExempt,info,createdAt,updatedAt
1,Project Nebius,Data Center,proposed,,Alabama,Birmingham,Jefferson County,201 Milan Parkway (Former Regions Lakeshore site) ,33.42755722,-86.88155065,75,300,0,2026-1,2026-4-22,,,,,Nebius,unknown,TRUE,unknown,False,False,True,"Nebius Group is redeveloping the former Regions Bank operations campus on Lakeshore Parkway into a 300 MW AI computing facility spanning roughly ~75–80 acres. Filed under permit BHM01 in January 2026 and marketed as the ""Birmingham AI Factory,"" the project will demolish existing structures for a purpose-built GPU data center. It faces community opposition over power demand, noise, and proximity to residential neighborhoods, and is proceeding under pre-moratorium development rights while a city-wide pause on new large data centers is in effect.",2026-03-16T06:56:34.333Z,2026-05-01T07:36:35.454Z
2,Project Marvel,Data Center,proposed,,Alabama,Bessemer,Jefferson County,"Off Rock Mountain Lake Road, near the I-459/I-20/59 interchange",33.3443491,-87.03878951,1600,1.2,0,2025,2026-4-15,,,,,Logistics Land Investment LLC,unknown,unknown,unknown,False,False,True,"Logistics Land Investment LLC is proposing an 18-building, 4.5 million sq ft hyperscale complex targeting 1.2 GW of power capacity. Originally planned on ~700 acres rezoned from agricultural to light industrial in November 2025, the project expanded in early 2026 to a revised master plan totaling approximately 1,600 acres. The $14.5 billion project has drawn sustained community opposition over environmental impact, energy use, and transparency concerns, and multiple rezoning and planning steps remain before construction can proceed.",2026-03-16T06:56:34.333Z,2026-05-01T07:36:35.454Z
3,Meta Platforms Montgomery Data Center,Data Center,construction,,Alabama,Montgomery,Montgomery County,Off I‑65 near the Hyundai plant,32.27257047,-86.32823838,1453,227,0,2024-5,2026-4-15,,,100,,Terracon; Hensel Phelps Construction; Meta; Aldridge Electric,TRUE,TRUE,TRUE,False,False,True,"Meta is constructing a massive 715,000 sq ft AI data center off I-65, near the Hyundai assembly plant, representing a $800 million investment. Initially announced in May 2024 as an $800 million, 715,000 sq ft facility, the project was subsequently expanded, bringing the total investment to $1.5 billion and the campus to over 1.3 million sq ft. Powered entirely by renewable energy and targeting LEED Gold certification, the facility is expected to come online by the end of 2026 and will support approximately 100 permanent jobs. Meta purchased several lots totalling roughly 1,453 acres for $34.88 million. A $300 million, 4,500-acre solar farm is being developed by Silicon Ranch in Stockton, Alabama, to power this data center.",2026-03-16T06:56:34.333Z,2026-05-06T07:24:17.835Z
4,DC BLOX Montgomery,Data Center,preliminary,,Alabama,Hope Hull,Montgomery County,7610 Bill Joseph Parkway,32.26826301,-86.37368203,27,40,0,2024-11,2026-5-2,,,,,DC BLOX; Alabama Power,TRUE,TRUE,FALSE,False,True,False,"DC BLOX has plans for a 80,000 square foot, 5 MW data center in Montgomery's Interstate Industrial Park, and plans to expand to 40 MW in the future. The announcement came in November 2024, and no news has broke since. A non-profit, non-goverrnmental body, Montgomery Area Chamber of Commerce, has secured what has so far been DC Blox's committment to invest $30 million in the project. We were unable to find any discussion on the matter in any Montogmery City Council meeting minutes, and the land is currently owned by the Water works and Sanity Sewer Board of Montgomery.",2026-03-16T06:56:34.333Z,2026-05-06T07:24:17.835Z
6,DC BLOX Birmingham,Data Center,expansion,,Alabama,Birmingham,Jefferson County,433 6th Street South,33.50056974,-86.82105075,12,40,0,2026,2026-5-2,,,,,DC BLOX; Alabama Power; Jefferson County Economic and Industrial Development Authority,TRUE,TRUE,FALSE,False,False,False,"DC BLOX is exapnding their Birmingham data center to roughly 263,000 square feet. Plans appear to include a substation, but we have not confirmed any details regarding its construction at this time. In 2019, The Birmingham City Council rezoned the land from Mixed Use Medium to General Commercial for the first phase of the data center. The location is built on what was previously the Trinity Park steel plant, which is a brownfield site.",2026-03-16T06:56:34.333Z,2026-05-03T17:14:14.985Z
7,AUBix + Core Scientific Data Center,Data Center,expansion,,Alabama,Auburn,Lee County,1571 W Samford Avenue,32.60109865,-85.51370859,,16,0,2025,2026-4-15,,,,,Core Scientific,TRUE,TRUE,unknown,False,False,False,"Core Scientific is investing $400 million to expand its Auburn data center, which will be hosted within the existing AUBix site. At launch the data center will have a capacity of 16 MW.",2026-03-16T06:56:34.333Z,2026-05-01T07:36:35.454Z
8,Childersburg Data Center,Data Center,preliminary,,Alabama,Childersburg,Talladega County,Childersburg Industrial Park,33.34366468,-86.3344476,,,700,2025,2026-4-22,,,,,Undisclosed Developer,FALSE,FALSE,unknown,True,True,False,"Two undisclosed groups have expressed interest in developing a data center somewhere the Childersburg Industrial Park. As of April 2026, no property has been sold, no plans have been approved.",2026-03-16T06:56:34.333Z,2026-05-01T07:36:35.454Z
9,Tallassee Mill Data Center,Data Center,preliminary,,Alabama,Tallassee,Elmore County,"Former Tallasee Mill site, along the Tallapoosa River near Thurlow Dam",32.53337165,-85.89014804,,10,400,2026-4,2026-4-30,,,30,,Undisclosed Developer,unknown,unknown,unknown,True,True,False,"Two developers have expressed interest in redeveloping the former Tallassee Mill into a data center. The proposal has been described as 10 MW, but with potential expansion to 20 MW. This proposal has drawn fierce scrutiny, as the Tallassee Mill is a historic mill from 1853. Tallassee's mayor is referenced mentioning this project could bring 15-30 well-paying jobs. Land and zoning status are unknown.",2026-03-16T06:56:34.333Z,2026-05-06T07:24:17.835Z
10,Project Leo,Data Center,proposed,,Arkansas,Little Rock,Pulaski County,Off 145th Street,34.61717176,-92.23704641,760,1000,2500,2026-1,2026-3-21,,1000,500,1500,AVAIO Digital Partners,unknown,unknown,unknown,True,True,False,"AVAIO Digital Group has announced a $6 billion data center hub outside Little Rock, supposedly off 145th Street. AVAIO is currently contracted with Entergy Arkansas for 150 MW of power, but they anticipate power demand of up to 1 GW as the facility grows. According to the announcement, construction of the first phase of the project is expected to start in the first quarter of 2026 and will be complete and energized in June 2027.",2026-03-16T06:56:34.333Z,2026-05-03T17:14:14.985Z
11,Project Pyramid,Data Center,approved,,Arkansas,West Memphis,Crittenden County,Off Bollinger Road,35.10663917,-90.211937,580,,0,2025-10,2026-3-21,,,,,Google,TRUE,TRUE,TRUE,False,False,False,"Google is proposing a five building hyperscale data center campus on a 1,178-acre property representing a $4-10-billion investment. The data center campus will reportedly only take up around ~580 acres of the properties. The project received approval for a 30-year payment-in-lieu-of-taxes (PILOT) agreement. Simultaneously, Google plans to construct a 600 MW solar farm to power this proposal, and the Arkansas Public Service Commission’s approved a 350 MW energy storage system.",2026-03-16T06:56:34.333Z,2026-05-03T17:14:14.985Z
12,Clarksville Data Center,Data Center,approved,,Arkansas,Clarksville,Johnson County,South of the Johnson Regional Medical Center,35.4541942,-93.44764012,135,,0,2025,2026-4-11,,,,,ServerFarm,TRUE,TRUE,unknown,False,False,False,"Serverfarm is building a $8 billion hyperscale data center on 135 acres near the Johnson Regional Medical Center. This campus would be composed of six 360,000-square-foot buildings, each at ~64 MW. ",2026-03-16T06:56:34.333Z,2026-05-01T07:36:35.454Z
13,Port of Little Rock Data Center,Data Center,proposed,,Arkansas,Sweet Home,Pulaski County,Located in unnamed tributaries and adjacent wetlands to Fourche Bayou,34.686928,-92.22558054,32.82828283,100,2500,2026-3,2026-4-11,,,,,Willowbend Capital LLC; Google,unknown,TRUE,unknown,True,True,False,"Google and Willowbend Capital, LLC are proposing a data center campus comprised of five 285,300-square-foot buildings, totaling ~1.43 million square feet in total. The project is expected to draw more than 100 MW of power. The proposal also includes two office/support buildings and an electrical substation/switching station covering around 20 acres.",2026-03-16T06:56:34.333Z,2026-05-03T17:14:14.985Z
