stakeholder_id,level,state,fips,county_name,jurisdiction,name,office,office_class,party,term_start,term_end,contact_email,contact_phone,contact_address,relevance_note,relevance_source_url,source_url,source_retrieved,qc_status,qc_flags
county-04013-county-admin-jen-pokorski,county,AZ,04013,"Maricopa County, Arizona",Maricopa County government,Jen Pokorski,County Manager,county_admin,,2023,,,,,,,https://www.maricopa.gov/5413/Meet-Your-County-Manager,,published,
county-04013-county-board-kate-brophy-mcgee,county,AZ,04013,"Maricopa County, Arizona",Maricopa County Board of Supervisors,Kate Brophy McGee,"Chair, Maricopa County Board of Supervisors (Supervisor, District 3)",county_board,Republican,2026-01-05,,,(602) 506-7563,"301 W Jefferson, 10th Floor, Phoenix, AZ 85003","Chair's 2026 agenda identifies county responsibility for ensuring developments have necessary water, roads and drainage, plus a streamlined and centralized permitting process, a modernized zoning ordinance, and Infrastructure Readiness Assessments for unincorporated areas.",https://www.maricopa.gov/CivicAlerts.aspx?AID=3564&ARC=5911,https://www.maricopa.gov/CivicAlerts.aspx?AID=3564&ARC=5911,,published,
county-04013-mayor-kate-gallego,county,AZ,04013,"Maricopa County, Arizona",City of Phoenix,Kate Gallego,Mayor of Phoenix,mayor,nonpartisan,,,mayor.gallego@phoenix.gov,(602) 262-7111,,,,https://www.phoenix.gov/administration/mayor.html,,published,
county-06037-county-admin-joseph-m-nicchitta,county,CA,06037,"Los Angeles County, California",Los Angeles County,Joseph M. Nicchitta,Chief Executive Officer of Los Angeles County,county_admin,,2026,,,,,,,https://ceo.lacounty.gov/meet-joseph-m-nicchitta/,,published,
county-06037-county-board-hilda-l-solis,county,CA,06037,"Los Angeles County, California",Los Angeles County Board of Supervisors,Hilda L. Solis,"Chair, Board of Supervisors (First District Supervisor)",county_board,nonpartisan,2014,2026-12-07,,(213) 974-4111,"500 West Temple Street, Los Angeles, CA 90012","On April 14, 2026, the Los Angeles County Board of Supervisors adopted a motion directing the Department of Regional Planning and Department of Public Health to provide findings on health, environmental and safety impacts of data centers and on impacts to electrical and water resources, and recommendations including code amendments for data center developments in unincorporated Los Angeles County.",https://planning.lacounty.gov/long-range-planning/data-centers/,https://file.lacounty.gov/SDSInter/bos/sop/transcripts/1208103_042826.pdf,,published,
county-06037-mayor-karen-bass,county,CA,06037,"Los Angeles County, California",City of Los Angeles,Karen Bass,Mayor,mayor,,2022-12-11,,,,,,,https://mayor.lacity.gov/,,published,
county-06085-county-admin-james-r-williams,county,CA,06085,"Santa Clara County, California",County of Santa Clara,James R. Williams,County Executive,county_admin,,,,,,,,,https://ceo.santaclaracounty.gov/home,,published,
county-06085-county-board-otto-lee,county,CA,06085,"Santa Clara County, California",Santa Clara County Board of Supervisors,Otto Lee,"Board President; Member, Board of Supervisors, District 3",county_board,nonpartisan,,,,(408) 299-5030,"County of Santa Clara Board of Supervisors, 70 West Hedding Street, East Wing, 10th Floor, San Jose, CA 95110","The Board of Supervisors has adopted policy and guideline documents governing how development occurs on private land throughout unincorporated Santa Clara County, implementing the County General Plan.",https://plandev.santaclaracounty.gov/services/planning-services/policies-and-guidelines,https://vote.santaclaracounty.gov/board-supervisors-district-3,,published,
county-06085-mayor-matt-mahan,county,CA,06085,"Santa Clara County, California",City of San Jose,Matt Mahan,Mayor,mayor,nonpartisan,,2028-12-31,,(408) 535-4800,"200 E. Santa Clara St., San Jose, CA 95113",,,https://www.sanjoseca.gov/your-government/departments-offices/mayor-and-city-council,,published,
county-13121-county-admin-richard-dick-anderson,county,GA,13121,"Fulton County, Georgia","Fulton County, Georgia","Richard ""Dick"" Anderson",County Manager,county_admin,,2015-03,,,,,,,https://www.fultoncountyga.gov/inside-fulton-county/county-manager-and-team/county-manager,,published,
county-13121-county-board-robb-pitts,county,GA,13121,"Fulton County, Georgia",Fulton County Board of Commissioners,Robb Pitts,"Chairman, Fulton County Board of Commissioners",county_board,,2023-01-01,2026-12-31,,,,"At its August 5, 2026 regular meeting the Fulton County Board of Commissioners approved a resolution opposing tax abatements or other financial incentives from any development authority within Fulton County for data center projects and urging the Development Authority of Fulton County to decline such incentives; the same county page states zoning and land use decisions for data centers rest with the 15 cities within Fulton County.",https://www.fultoncountyga.gov/News/2026/08/10/Fulton-County-Opposes-Local-Incentives-For-Data-Centers,https://www.fultoncountyga.gov/commissioners/robb-pitts,,published,
county-13121-mayor-andre-dickens,county,GA,13121,"Fulton County, Georgia",City of Atlanta,Andre Dickens,Mayor,mayor,,2022,,,,,,,https://www.atlantaga.gov/government/mayor-s-office/meet-the-mayor,,published,
county-19153-county-admin-frank-marasco,county,IA,19153,"Polk County, Iowa",Polk County government,Frank Marasco,County Administrator,county_admin,,,,,,,,,https://www.kcci.com/article/frank-marasco-polk-county-administrator-approved-board-of-supervisors/65267284,,published,
county-19153-county-board-matt-mccoy,county,IA,19153,"Polk County, Iowa",Polk County Board of Supervisors,Matt McCoy,"Chair, Polk County Board of Supervisors (Supervisor, District 1)",county_board,,2026-01-02,2026,,,,,,https://www.desmoinesregister.com/story/news/local/des-moines-polk-county/2026/01/02/polk-county-board-of-supervisors-chair-matt-mccoy-reelected-new-meeting-schedule/87993175007/,,published,
county-19153-mayor-connie-boesen,county,IA,19153,"Polk County, Iowa",City of Des Moines,Connie Boesen,Mayor,mayor,nonpartisan,2024-01-02,2028-01-03,,(515) 283-4944,"400 Robert D Ray Drive, Des Moines, IA 50309",,,https://www.dsm.city/government/index.php,,published,
county-19155-county-board-brian-shea,county,IA,19155,"Pottawattamie County, Iowa",Pottawattamie County Board of Supervisors,Brian Shea,"Chairman, Board of Supervisors",county_board,,,2028,,(712) 328-5644,"Courthouse, Second Floor, 227 S 6th St, Council Bluffs, IA 51501","The Pottawattamie County Board of Supervisors receives recommendations from the county Planning and Zoning Commission on amendments, supplements, changes or modifications to the zoning and subdivision ordinances and the Land Use Plan, under the zoning amendment procedure in Chapter 8.098 of the Pottawattamie County Code.",https://www.pottcounty-ia.gov/planning_and_development/planning_and_zoning_commission/,https://www.pottcounty-ia.gov/files/meetings/2026-09-01_minutes_2084.pdf,,published,
county-19155-mayor-jill-shudak,county,IA,19155,"Pottawattamie County, Iowa",City of Council Bluffs,Jill Shudak,Mayor,mayor,,,,,,,,,https://www.councilbluffs-ia.gov/95/Mayors-Office,,published,
county-17031-county-admin-zahra-ali,county,IL,17031,"Cook County, Illinois",Cook County government,Zahra Ali,Chief Administrative Officer,county_admin,,,,,(312) 603-3055,"118 N. Clark St. Room 801, Chicago, IL 60602",,,https://www.cookcountyil.gov/agency/chief-administrative-officer,,published,
county-17031-county-board-toni-preckwinkle,county,IL,17031,"Cook County, Illinois",Cook County Board of Commissioners,Toni Preckwinkle,"President, Cook County Board of Commissioners",county_board,,2010,2026-12-07,,(312) 603-4600,,"The President presides over meetings of the County Board, directly supervises departments providing services to residents, prepares and submits the annual county budget, and appoints members of boards and commissions with Board consent.",https://www.cookcountyil.gov/agency/office-president,https://www.cookcountyil.gov/all-people/toni-preckwinkle,,published,
